staid,stnwtcid,stnsite,stnnumber,stnname,stnstatus,statype,stncatchment,stnlatitude,stnlongitude,stnelevation,stnelevationhydro,stnelevationmet,stnelevationgeneral,stndatum,stneasting,stnnorthing,stnisin,stngeneraldescription,stnfunchydrometric,stnfuncgroundwater,stnfuncmeteorological,stnfuncwaterquality,stnfuncicemonitoring,stntemplategroundwater,stntemplatehydrometric,stntemplatewaterquality,stntemplateicemonitoring,stngroundwaterpipeheight,stngroundwaterdatum,stnhydrometricdatum,stnaafrd,stnaemonitoringbranch,stnaenvregion,stnaenvstationtype,stnarc,stnacquisitionmethod,stnacquisitionplatform,stnaffectedbyhumanactivity,stnaliasfires,stnaliasmscclimate,stnaliasmsctc,stnaliasmscwmo,stnaliasnewleaf,stnaliassnow,stnaliastsmlocation,stnaliastsmsite,stnaquifer,stnaquifertype,stnarchivedatacomments,stnarealextent,stnassessmentdatabasewellname,stnassessmentandinterpretation,stnbankproperties,stnbenchmarks,stnbridgeangle,stncbm,stnclbr,stnca,stncameravideo,stncatchmentsize,stnchemexcel,stncl,stncompletion,stnconversionfactor,stnconverttodatum,stndatacollection,stndateagreementsigned,stndatumofpublisheddata,stndepthm,stndepthclass,stndiametermm,stndistancetoconfluence,stndrainageareaeffective,stndrainageareagross,stndrainagebasin,stndrilldate,stndrought,stnelog,stnercblicence,stnercbwellname,stnelevationquality,stnendofavailabledata,stnenvnumber,stnequipmentassetvalue,stnequipmenttype,stnexpirydate,stnf,stnfe,stnfirstwqsampledate,stnformation,stngicwellid,stngamma,stngaugingtype,stngroundproperties,stnhg,stnhq,stninusesince,stnlsd,stnlandowner,stnlanduseagreement,stnlatlongquality,stnlegals,stnlithology,stnlocalandothercontacts,stnlocationdescription,stnmapsheet,stnmeridian,stnmg,stnmiscstationaliases,stnmiscstationaliasesremarks,stnmonitoring,stnmsllstation,stnnh4,stnno2no3,stnnrtstation,stnna,stnobswell,stnoperationalstatusdetails,stnoperator,stnowner,stnpercentownedbyaenv,stnperiodofoperationattr,stnposatriver,stnprimarywellnetwork,stnproductionm,stnprojectcode,stnprovincialstationid,stnprovincialstationwellname,stnpumptestdate,stnpumptesthrs,stnq20,stnqa,stnrange,stnremotestation,stnso4,stnsamplingcomments,stnsamplingdate,stnsecondarynumber,stnsection,stnshelterfloor,stnstationcodegown,stnsubbasin,stnsubwellnetwork,stnsurfacewaterinteraction,stnsurfacewaterobject,stntau,stntds,stnthmgcaco3l,stntran,stntsm,stntsmlongname,stnthermal,stntopofbank,stntownship,stntypeoflanduseagreement,stnutmzone,stnvalueofdata,stnwds,stnwdsstationno,stnwl,stnwmo,stnwqwellid,stnwaterobjecttype,stnwaterqualitytype,stnwebpublicstationstatus,stnwellconstructioncondcamerar,stnwellmaterials,stnwellreplacementcost,stnph,,statemplate
21146,11557,AB,05AA016,Carbondale Creek at Evan's Ranch,Discontinued,Hydrometric,Oldman River-South Saskatchewan River,49.471824,-114.316866,,0,,,0,,,M.D. of Pincher Creek No. 9,1.6 KM WEST AND 9.6 KM SOUTH OF BURMIS,1,0,0,0,0,,RiverType5,,,,,0,,,,River/Stream,,,,,,,,,,,1,60239,,,,,,,---,,---,,,,,,,,,0, ,,, ,,,,,311,311,,,,,,,,,,,,,,,,,,,,---,,,,,,,,SE15-06-03-W5,,,,-,,,,,,,,,0,,,,WSC - AB,WSC - AB,,,3,,,,,,,,,,,,,,,,,0,,,,,Carbondale River,,,,,,,,0,,,,,,,,,,River,,,,,,,,RiverType5
20595,11557,AB,05AA018,Allison Creek near Sentinel,Discontinued,Hydrometric,Oldman River-South Saskatchewan River,49.63182,-114.58733,,0,,,0,,,Municipality of Crowsnest Pass,ABOUT 250 M EAST OF SENTRY RAILWAY STATION AND ABOUT 6.4 KM WEST OF COLEMAN,1,0,0,0,0,,RiverType5,,,,,0,,,,River/Stream,,,,,,,,,,,,,,,,,,,---,,---,,,,,,,,,1342.458,025 CANADIAN PACIFIC RAILWAY DATUM,,,010 ASSUMED DATUM,,,,,47.7,47.7,,,,,,,,,,,,,,,,,,,,---,,,,,,,,SW11-08-05-W5,,,,-,,,,,,,,,0,,,,WSC - AB,WSC - AB,,,3,,,,,,,,,,,,,,,,,0,,,,,Allison Creek,,,,,,,,0,,,,,,,,,,River,,,,,,,,RiverType5
20915,11557,AB,05AA020,Blairmore Creek near Blairmore,Discontinued,Hydrometric,Oldman River-South Saskatchewan River,49.634699,-114.458383,,0,,,0,,,Municipality of Crowsnest Pass,,1,0,0,0,0,,RiverType5,,,,,0,,,,River/Stream,,,,,,,,,,,,,,,,,,,---,,---,,,,,,,,,0, ,,, ,,,,,47.9,47.9,,,,,,,,,,,,,,,,,,,,---,,,,,,,,SE10-08-04-W5,,,,-,,,,,,,,,0,,,,WSC - AB,WSC - AB,,,3,,,,,,,,,,,,,,,,,0,,,,,Blairmore Creek,,,,,,,,0,,,,,,,,,,River,,,,,,,,RiverType5
22501,11557,AB,05AA021,Oldman River at the Gap,Discontinued,Hydrometric,Oldman River-South Saskatchewan River,49.865695,-114.364833,,0,,,0,,,M.D. of Ranchland No. 66,ABOUT 29 KM BY ROAD NORTH OF LUNDBRECK AND ABOUT 32 KM ABOVE CONFLUENCE WITH CROWSNEST RIVER,1,0,0,0,0,,RiverType5,,,,,0,,,,River/Stream,,,,,,,,,,,1,60393,,,,,,,---,,---,,,,,,,,,0, ,,, ,,,,,1200,1200,,,,,,,,,,,,,,,,,,,,---,,,,,,,,SE32-10-03-W5,,,,-,,,,,,,,,0,,,,WSC - AB,WSC - AB,,,3,,,,,,,,,,,,,,,,,0,,,,,Oldman River,,,,,,,,0,,,,,,,,,,River,,,,,,,,RiverType5
21166,11557,AB,05AA022,Castle River near Beaver Mines,Active,Hydrometric,Oldman River-South Saskatchewan River,49.490268,-114.147236,,1204,,,0,,,M.D. of Pincher Creek No. 9,"""ON RIGHT BANK ABOUT 16 KM WEST OF TOWN OF PINCHER CREEK. 0.8 KM ABOVE BRIDGE ON ROAD TO COWLEY; 24 KM ABOVE CONFLUENCE WITH OLDMAN R.""",1,0,0,0,0,,RiverType4,,,,,0,,,,River/Stream,,GOES,,,,,,,RCASBEA,,1,60245,,,,,,,---,,---,,,,,,,,,0, ,,,010 ASSUMED DATUM,,,,,820.7,820.7,,,,,,,,,,,,,,,,,,,,---,,,,,,,,NW24-06-02-W5,,,,-,,,,,RCASBEA,,,,1,,,,WSC - AB,EMSD,,01/01-12/31,3,,,,,,,,,,,,,,,,,6.45,,,,,Castle River,,,,,,,,0,,,,,,,,RCASBEA,,River,,,,,,,,RiverType4
22504,11557,AB,05AA024,Oldman River near Brocket,Active,Hydrometric,Oldman River-South Saskatchewan River,49.55743,-113.823764,,1052,,,0,,,M.D. of Pincher Creek No. 9,4.0 KM WEST OF BROCKET THEN 1.4 KM NORTH.  LOCATED ON LEFT BANK OF RIVER APPROXIMATELY 5 METRES ABOVE BRIDGE.,1,0,0,0,0,,RiverType4,,,,,0,,,,River/Stream,,GOES,,,,,,,ROLDBROC,,1,60099,,,,,,,---,,---,,,,,,,,,1035.469,035 GEODETIC SURVEY OF CANADA DATUM,,,010 ASSUMED DATUM,,,,,4382,4401.1,,,,,,,,,,,,,,,,,,,,---,,,,,,,,SE14-07-29-W4,,,,-,,,,,ROLDBROC,,,,1,,,,WSC - AB,WSC/AENV,,01/01-12/31,3,,,,,,,,,,,,,,,,,6,,,,,Oldman River,,,,,,,,0,,,,,,,,ROLDBROC,,River,,,,,,,,RiverType4
23067,11557,AB,05AA025,Snowfence Creek at Plateau Mountain,Discontinued,Hydrometric,Oldman River-South Saskatchewan River,50.21,-114.544444,,0,,,0,,,KANANASKIS IMPROVEMENT DISTRICT,O.8 KM ALONG RIDGE FROM OILFIELD ROAD UP PLATEAU MOUTAIN. TURNOFF IS APPROX. 26 KM SOUTH OF KANANASKIS AND LONGVIEW ROAD JUNCTION,1,0,0,0,0,,RiverType5,,,,,0,,,,River/Stream,,,,,,,,,,,1,60444,,,,,,,---,,---,,,,,,,,,0, ,,, ,,,,,0.04,0.04,,,,,,,,,,,,,,,,,,,,---,,,,,,,,,,,,-,,,,,,,,,0,,,,WSC - AB,WSC - AB,,,3,,,,,,,,,,,,,,,,,0,,,,,---,,,,,,,,0,,,,,,,,,,River,,,,,,,,RiverType5
21395,11557,AB,05AA026,Dutch Creek near the Mouth,Discontinued,Hydrometric,Oldman River-South Saskatchewan River,49.90249,-114.44962,,0,,,0,,,M.D. of Ranchland No. 66,ABOUT 3.2 KM WEST OF COLEMAN-KANANASKIS HIGHWAY ABOUT 42 KM FROM COLEMAN,1,0,0,0,0,,RiverType5,,,,,0,,,,River/Stream,,,,,,,,,,,1,60272,,,,,,,---,,---,,,,,,,,,0, ,,,010 ASSUMED DATUM,,,,,143,143,,,,,,,,,,,,,,,,,,,,---,,,,,,,,NW11-11-04-W5,,,,-,,,,,,,,,0,,,,WSC - AB,WSC/AENV,,,3,,,,,,,,,,,,,,,,,0,,,,,Dutch Creek,,,,,,,,0,,,,,,,,,,River,,,,,,,,RiverType5
22758,11557,AB,05AA027,Racehorse Creek near the Mouth,Active,Hydrometric,Oldman River-South Saskatchewan River,49.837932,-114.420457,,0,,,0,,,M.D. of Ranchland No. 66,ABOUT 34 KM NORTH OF COLEMAN ON HIGHWAY NO. 940 AND 5.4 KM SOUTH OF INTERSECTION HIGHWAY NO. 517.,1,0,0,0,0,,RiverType4,,,,,0,,,,River/Stream,,,,,,,,,RRACEMOU,,1,60412,,,,,,,---,,---,,,,,,,,,0, ,,,010 ASSUMED DATUM,,,,,217.6,217.6,,,,,,,,,,,,,,,,,,,,---,,,,,,,,NW24-10-04-W5,,,,-,,,,,RRACEMOU,,,,1,,,,WSC - AB,WSC/AENV,,04/01-10/31,3,,,,,,,,,,,,,,,,,0,,,,,Racehorse Creek,,,,,,,,0,,,,,,,,,,River,,,,,,,,RiverType4
21164,11557,AB,05AA028,Castle River at Ranger Station,Active,Hydrometric,Oldman River-South Saskatchewan River,49.399151,-114.338754,,0,,,0,,,M.D. of Pincher Creek No. 9,ABOUT 37 KM WEST OF PINCHER CREEK,1,0,0,0,0,,RiverType4,,,,,0,,,,River/Stream,,Modem,Vedas,,,,,,RCASRS,,1,60244,,,,,,,---,,---,,,,,,,,,0, ,,,010 ASSUMED DATUM,,,,,375.3,375.3,,,,,,,,,,,,,,,,,,,,---,,,,,,,,SE21-05-03-W5,,,,-,,,,,RCASRS,,,,1,,,,WSC - AB,WSC/AENV,,03/01-10/31,3,,,,,,,,,,,,,,,,,9.255,,,,,Castle River,,,,,,,,0,,,,,,,,RCASRS,,River,,,,,,,,RiverType4
21103,11557,AB,05AA029,Callum Creek at Waldron's Ranch,Discontinued,Hydrometric,Oldman River-South Saskatchewan River,49.826567,-114.136108,,0,,,0,,,M.D. of Pincher Creek No. 9,ABOUT 32 KM NORTH OF LUNDBRECK ON THE ROAD TO LONGVIEW,1,0,0,0,0,,RiverType5,,,,,0,,,,River/Stream,,,,,,,,,,,1,60228,,,,,,,---,,---,,,,,,,,,0, ,,,010 ASSUMED DATUM,,,,,189,189,,,,,,,,,,,,,,,,,,,,---,,,,,,,,NW18-10-01-W5,,,,-,,,,,,,,,0,,,,WSC - AB,WSC - AB,,,3,,,,,,,,,,,,,,,,,0,,,,,Callum Creek,,,,,,,,0,,,,,,,,,,River,,,,,,,,RiverType5
21598,11557,AB,05AA030,Gold Creek near Frank,Active,Hydrometric,Oldman River-South Saskatchewan River,49.599398,-114.401904,,1287,,,0,,,Municipality of Crowsnest Pass,ON LEFT BANK 0.4 KM NORTH OF FRANK,1,0,0,0,0,,RiverType4,,,,,0,,,,River/Stream,,Modem,Vedas,,,,,,RGOLDFRA,,1,60044,,,,,,,---,,---,,,,,,,,,1287.484,110 APPROXIMATE GEODETIC SURVEY OF CANADA DATUM,,,010 ASSUMED DATUM,,,,,63.3,63.3,,,,,,,,,,,,,,,,,,,,---,,,,,,,,SW31-07-03-W5,,,,-,,,,,RGOLDFRA,,,,1,,,,WSC - AB,EMSD,,04/01-11/30,3,,,,,,,,,,,,,,,,,0,,,,,Gold Creek,,,,,,,,0,,,,,,,,,,River,,,,,,,,RiverType4
22495,11557,AB,05AA032,Oldman Reservoir near Pincher Creek,Active,Hydrometric,Oldman River-South Saskatchewan River,49.584729,-113.941157,,0,,,0,,,M.D. of Pincher Creek No. 9,,1,0,0,0,0,,LakeType4,,,,,0,,,,Lake/Reservoir,,GOES,,,,,,,ROLDRES,,1,60096,,,,,,,---,,---,,,,,,,,,0, ,,,36 GEODETIC SURVEY OF CANADA DATUM,,,,,4356.1,4375.3,,,,,,,,,,,,,,,,,,,,---,,,,,,,,NW25-7-30-W5,,,,-,,,,,,1,,,1,,,,WSC - AB,WSC,,01/01-12/31,3,,,,,,,,,,,,,,,,,0,,,,,#NV,,,,,,,,0,,,,,,,,ROLDRES,,Lake,,,,,,,,LakeType4
21852,11557,AB,05AA033,Kettles Creek at Pincher Creek,Active,Hydrometric,Oldman River-South Saskatchewan River,49.49215,-113.926742,,0,,,0,,,M.D. of Pincher Creek No. 9,,1,0,0,0,0,,RiverType4,,,,,0,,,,River/Stream,,,,,,,,,RKETTPIN,,1,60709,,,,,,,---,,---,,,,,,,,,0, ,,,010 ASSUMED DATUM,,,,,36.9,38.4,,,,,,,,,,,,,,,,,,,,---,,,,,,,,NE23-6-30-W4,,,,-,,,,,RKETTPIN,,,,1,,,,WSC - AB,EMSD,,03/01-10/31,3,,,,,,,,,,,,,,,,,0,,,,,Kettles Creek,,,,,,,,0,,,,,,,,,,River,,,,,,,,RiverType4
22657,11557,AB,05AA034,Pincher Creek at Front Range Road,Active,Hydrometric,Oldman River-South Saskatchewan River,49.309958,-114.075542,,0,,,0,,,M.D. of Pincher Creek No. 9,,1,0,0,0,0,,RiverType4,,,,,0,,,,River/Stream,,,,,,,,,RPINFRAN,,1,60710,,,,,,,---,,---,,,,,,,,,0, ,,,010 ASSUMED DATUM,,,,,24,24,,,,,,,,,,,,,,,,,,,,---,,,,,,,,SE21-4-1-W5,,,,-,,,,,RPINFRAN,,,,1,,,,WSC - AB,EMSD,,03/01-10/31,3,,,,,,,,,,,,,,,,,0,,,,,Pincher Creek,,,,,,,,0,,,,,,,,,,River,,,,,,,,RiverType4
